"","word","score","n"
"1","professor",0.4,34
"2","like",0.5,12
"3","well",0.8,10
"4","good",0.75,9
"5","fat",-0.5,7
"6","right",0.8,7
"7","yes",0.8,7
"8","better",0.8,6
"9","lesson",0.4,6
"10","black",-0.25,5
"11","great",0.5,5
"12","best",0.5,4
"13","dreading",-1,4
"14","please",1,4
"15","star",0.6,4
"16","thanks",0.6,4
"17","work",0.25,4
"18","chance",0.25,3
"19","dark",-0.6,3
"20","feeling",0.25,3
"21","fell",-0.5,3
"22","finally",0.4,3
"23","leave",-0.25,3
"24","lost",-0.75,3
"25","lucky",0.75,3
"26","nasty",-1,3
"27","sorry",-0.5,3
"28","sweets",0.5,3
"29","working",0.25,3
"30","afraid",-0.75,2
"31","argue",-0.5,2
"32","aunt",0.25,2
"33","bad",-0.75,2
"34","careful",0.25,2
"35","clearly",0.5,2
"36","cold",-0.5,2
"37","crying",-0.5,2
"38","curiously",0.4,2
"39","defense",0.25,2
"40","deserted",-0.6,2
"41","difficulty",-0.5,2
"42","dread",-0.75,2
"43","dying",-0.5,2
"44","empty",-0.25,2
"45","enough",-0.25,2
"46","fear",-0.75,2
"47","fist",-0.4,2
"48","forgotten",-0.5,2
"49","frowning",-0.75,2
"50","funny",0.8,2
"51","furious",-1,2
"52","glaring",-0.8,2
"53","happily",0.5,2
"54","hurried",-0.25,2
"55","interested",0.5,2
"56","joined",0.6,2
"57","joke",0.6,2
"58","killed",-0.5,2
"59","kind",0.5,2
"60","library",0.6,2
"61","missed",-0.5,2
"62","missing",-0.5,2
"63","nervously",-0.5,2
"64","new",0.8,2
"65","permission",0.8,2
"66","pity",-0.5,2
"67","shot",-0.4,2
"68","slowly",-0.25,2
"69","smiled",0.8,2
"70","sneaking",-0.5,2
"71","staring",-0.25,2
"72","stink",-0.5,2
"73","suspiciously",-0.6,2
"74","thoughtfully",1,2
"75","visit",0.4,2
"76","win",0.5,2
"77","worry",-0.75,2
"78","worst",-0.5,2
"79","wrong",-0.75,2
"80","abruptly",-0.25,1
"81","action",0.25,1
