"","word","score","n"
"1","professor",0.4,50
"2","great",0.5,14
"3","like",0.5,10
"4","death",-0.75,7
"5","dark",-0.6,6
"6","scar",-0.5,6
"7","yes",0.8,6
"8","good",0.75,5
"9","right",0.8,5
"10","well",0.8,5
"11","black",-0.25,4
"12","dead",-1,4
"13","fight",-0.5,4
"14","hurried",-0.25,4
"15","smashed",-0.6,4
"16","vanished",-0.6,4
"17","expect",0.4,3
"18","fell",-0.5,3
"19","fighting",-0.8,3
"20","fire",-0.25,3
"21","flying",0.1,3
"22","forward",0.6,3
"23","leading",0.25,3
"24","leave",-0.25,3
"25","murder",-0.75,3
"26","ready",0.8,3
"27","wish",0.8,3
"28","agreed",0.5,2
"29","angry",-0.75,2
"30","attack",-0.75,2
"31","better",0.8,2
"32","bitterly",-1,2
"33","bound",-0.25,2
"34","boy",0.25,2
"35","break",-0.25,2
"36","clear",0.5,2
"37","cold",-0.5,2
"38","coward",-1,2
"39","crowded",-0.6,2
"40","enough",-0.25,2
"41","fine",0.25,2
"42","fool",-0.75,2
"43","forced",-0.5,2
"44","forgotten",-0.5,2
"45","found",0.6,2
"46","free",0.5,2
"47","gang",-0.8,2
"48","ghostly",-0.5,2
"49","hit",-0.25,2
"50","hug",0.75,2
"51","idiot",-1,2
"52","impression",0.1,2
"53","interested",0.5,2
"54","joined",0.6,2
"55","late",-0.25,2
"56","lost",-0.75,2
"57","loud",-0.25,2
"58","madness",-1,2
"59","musical",0.6,2
"60","pain",-0.75,2
"61","pale",-0.6,2
"62","panic",-0.8,2
"63","pompous",-0.5,2
"64","protection",0.8,2
"65","shock",-0.75,2
"66","sorry",-0.5,2
"67","spat",-0.5,2
"68","staring",-0.25,2
"69","starry",0.5,2
"70","struggled",-0.5,2
"71","stunned",-0.25,2
"72","surprise",0.6,2
"73","tears",-0.8,2
"74","thundering",-0.5,2
"75","unconscious",-0.5,2
"76","ablaze",-0.25,1
"77","admit",0.6,1
"78","advisable",1,1
"79","affection",1,1
"80","aghast",-1,1
"81","ahead",0.8,1
"82","alarm",-0.75,1
"83","alert",-0.25,1
"84","alone",-0.6,1
"85","amiss",-1,1
"86","anger",-0.75,1
"87","appreciate",0.5,1
"88","ashamed",-1,1
"89","assured",0.8,1
"90","astonishment",0.5,1
"91","attacking",-0.5,1
"92","avoid",-0.5,1
"93","avoided",-0.5,1
"94","awful",-0.75,1
"95","baby",0.6,1
"96","backward",-0.5,1
"97","balance",0.6,1
"98","barricade",-0.6,1
"99","bath",0.4,1
"100","beast",-0.5,1
"101","beckoning",0.6,1
"102","best",0.5,1
"103","big",0.25,1
"104","blast",-0.4,1
"105","blasted",-0.4,1
"106","brandishing",-0.6,1
"107","brave",0.5,1
"108","bright",0.5,1
"109","broken",-0.75,1
"110","brother",0.4,1
"111","burn",-0.4,1
"112","burned",-0.6,1
"113","burning",-0.4,1
"114","calm",0.75,1
"115","capable",0.5,1
"116","care",1,1
"117","caretaker",0.1,1
"118","chance",0.25,1
"119","charm",0.75,1
"120","chosen",0.6,1
"121","coldness",-0.5,1
"122","complaining",-1,1
"123","complexity",0.25,1
"124","concealed",-0.5,1
"125","constructive",1,1
"126","contact",0.4,1
"127","courage",0.75,1
"128","cowardice",-0.5,1
"129","crashes",-1,1
"130","cried",-1,1
"131","cries",-1,1
"132","cruel",-1,1
"133","crumple",-0.6,1
"134","crumpled",-0.6,1
"135","crushing",-1,1
"136","cry",-0.75,1
"137","curse",-0.75,1
"138","damned",-1,1
"139","darkness",-0.75,1
"140","daughter",0.6,1
"141","deal",0.25,1
"142","dear",0.5,1
"143","delay",-0.75,1
"144","delight",1,1
"145","deserted",-0.6,1
"146","desperate",-0.75,1
"147","disappointment",-1,1
"148","disbelief",-0.5,1
"149","disgusting",-1,1
"150","disoriented",-0.5,1
"151","disturbance",-0.75,1
"152","dragged",-0.5,1
"153","drowning",-0.5,1
"154","easy",0.8,1
"155","empty",-0.25,1
"156","enchanted",1,1
"157","excuse",-0.75,1
"158","extra",0.4,1
"159","fall",-0.25,1
"160","fallen",-0.5,1
"161","falling",-0.75,1
"162","false",-0.6,1
"163","familiar",0.8,1
"164","faster",0.6,1
"165","fat",-0.5,1
"166","fear",-0.75,1
"167","firing",-0.6,1
"168","fist",-0.4,1
"169","flee",-0.75,1
"170","flooded",-0.8,1
"171","foolish",-0.75,1
"172","frightened",-0.5,1
"173","froze",-0.25,1
"174","frozen",-0.25,1
"175","fun",0.75,1
"176","fury",-0.5,1
"177","gallant",0.75,1
"178","genteel",1,1
"179","gold",0.5,1
"180","golden",0.6,1
"181","greasy",-0.5,1
"182","grievous",-0.5,1
"183","grim",-0.75,1
"184","groan",-0.8,1
"185","groggy",-0.8,1
"186","growing",0.8,1
"187","gun",-0.5,1
"188","happily",0.5,1
"189","hard",-0.25,1
"190","hidden",-0.25,1
"191","horde",-0.75,1
"192","horror",-1,1
"193","hunch",0.25,1
"194","hungry",-0.25,1
"195","hurtled",-0.4,1
"196","imitation",-0.25,1
"197","impatiently",-0.8,1
"198","important",0.75,1
"199","impossible",-0.5,1
"200","indifference",-0.75,1
"201","innocent",0.8,1
"202","insensible",-0.8,1
"203","insist",-0.25,1
"204","interest",0.5,1
"205","interrupt",-0.75,1
"206","interrupted",-0.75,1
"207","intruder",-0.5,1
"208","kill",-0.75,1
"209","killed",-0.5,1
"210","killing",-0.75,1
"211","kind",0.5,1
"212","knowing",0.6,1
"213","lead",0.25,1
"214","lie",-0.5,1
"215","lopsided",-0.6,1
"216","louder",-0.25,1
"217","loving",0.75,1
"218","lying",-0.5,1
"219","mad",-0.75,1
"220","magic",0.25,1
"221","main",0.4,1
"222","moron",-0.75,1
"223","motionless",-0.4,1
"224","nicely",1,1
"225","objection",-0.25,1
"226","offensively",-1,1
"227","organized",0.6,1
"228","outlaw",-0.5,1
"229","overbalanced",-0.25,1
"230","overwhelm",-0.75,1
"231","pay",-0.1,1
"232","perfectly",0.5,1
"233","peril",-1,1
"234","pig",-0.5,1
"235","please",1,1
"236","pleased",0.75,1
"237","possessed",-0.6,1
"238","predicament",-0.5,1
"239","pretended",-0.25,1
"240","pride",0.25,1
"241","prodded",-0.8,1
"242","protect",0.75,1
"243","punish",-0.75,1
"244","quiet",0.25,1
"245","refused",-0.75,1
"246","resistance",-0.5,1
"247","sabotage",-0.75,1
"248","safe",0.75,1
"249","savage",-0.5,1
"250","screamed",-0.6,1
"251","seared",-0.4,1
"252","secure",0.5,1
"253","serpent",-0.25,1
"254","sharply",-0.25,1
"255","shattered",-0.5,1
"256","shattering",-0.8,1
"257","shelter",0.4,1
"258","shimmering",0.6,1
"259","siege",-0.6,1
"260","silk",0.6,1
"261","sink",-0.25,1
"262","slashed",-0.5,1
"263","slowly",-0.25,1
"264","smacking",-0.6,1
"265","smoke",-0.25,1
"266","snare",-0.5,1
"267","snarled",-1,1
"268","sneak",-0.5,1
"269","soft",0.6,1
"270","solidifying",0.25,1
"271","sparkling",0.5,1
"272","spectacle",0.4,1
"273","speech",0.25,1
"274","split",-0.5,1
"275","squeaky",-0.25,1
"276","staggered",-0.6,1
"277","startled",-0.6,1
"278","steady",0.6,1
"279","steep",-0.25,1
"280","stern",-0.75,1
"281","stop",-0.4,1
"282","strain",-0.6,1
"283","strangling",-1,1
"284","struggling",-0.5,1
"285","stuck",-0.25,1
"286","stun",-0.25,1
"287","superb",1,1
"288","swear",-0.1,1
"289","sweaty",-0.5,1
"290","swiftness",0.8,1
"291","tension",-0.5,1
"292","terrified",-1,1
"293","thank",0.5,1
"294","thrashing",-1,1
"295","threatened",-0.5,1
"296","throbbed",-0.6,1
"297","tingle",0.6,1
"298","touched",0.25,1
"299","transparent",-0.25,1
"300","triumph",0.75,1
"301","truth",1,1
"302","ugly",-0.75,1
"303","unable",-0.5,1
"304","uncouth",-1,1
"305","understanding",1,1
"306","unusually",-0.6,1
"307","urgent",-0.75,1
"308","usual",0.4,1
"309","warning",-0.5,1
"310","weird",-0.25,1
"311","wisdom",0.75,1
"312","wise",0.5,1
"313","witch",-0.4,1
"314","work",0.25,1
"315","worth",0.75,1
"316","wrath",-0.5,1
"317","wrought",-0.5,1
"318","yell",-0.25,1
"319","younger",0.25,1
