"","word","score","n"
"1","professor",0.4,13
"2","black",-0.25,9
"3","like",0.5,9
"4","death",-0.75,8
"5","well",0.8,7
"6","touched",0.25,6
"7","work",0.25,6
"8","gold",0.5,5
"9","right",0.8,5
"10","staring",-0.25,5
"11","boy",0.25,4
"12","dark",-0.6,4
"13","dead",-1,4
"14","feeling",0.25,4
"15","found",0.6,4
"16","guard",-0.25,4
"17","kind",0.5,4
"18","lunatic",-0.75,4
"19","prepared",0.5,4
"20","quiet",0.25,4
"21","better",0.8,3
"22","bravery",0.5,3
"23","broke",-0.75,3
"24","contact",0.4,3
"25","disappeared",-0.6,3
"26","fighting",-0.8,3
"27","finally",0.4,3
"28","forward",0.6,3
"29","glad",0.75,3
"30","good",0.75,3
"31","great",0.5,3
"32","helped",0.8,3
"33","lying",-0.5,3
"34","moody",-0.75,3
"35","pain",-0.75,3
"36","please",1,3
"37","scar",-0.5,3
"38","sharply",-0.25,3
"39","smile",0.75,3
"40","white",0.4,3
"41","accept",1,2
"42","angrily",-0.5,2
"43","angry",-0.75,2
"44","backward",-0.5,2
"45","beautiful",0.75,2
"46","blazing",-0.25,2
"47","burned",-0.6,2
"48","burning",-0.4,2
"49","care",1,2
"50","cleared",0.5,2
"51","continue",0.4,2
"52","dangerous",-0.5,2
"53","determination",0.8,2
"54","died",-0.5,2
"55","excellent",1,2
"56","fail",-0.75,2
"57","fell",-0.5,2
"58","fit",0.4,2
"59","force",-0.6,2
"60","free",0.5,2
"61","fury",-0.5,2
"62","giving",0.25,2
"63","golden",0.6,2
"64","gratitude",0.75,2
"65","hard",-0.25,2
"66","harshly",-1,2
"67","killed",-0.5,2
"68","leave",-0.25,2
"69","mad",-0.75,2
"70","magic",0.25,2
"71","magical",0.75,2
"72","pains",-0.75,2
"73","peace",0.75,2
"74","peacefully",0.5,2
"75","preposterous",-0.6,2
"76","protection",0.8,2
"77","ready",0.8,2
"78","remove",-0.25,2
"79","responsible",0.25,2
"80","screamed",-0.6,2
"81","shot",-0.4,2
"82","slamming",-0.4,2
"83","slowly",-0.25,2
"84","soft",0.6,2
"85","stop",-0.4,2
"86","stopped",-0.4,2
"87","supporters",0.8,2
"88","tears",-0.8,2
"89","threatening",-1,2
"90","tired",-0.75,2
"91","trembling",-0.5,2
"92","trust",0.5,2
"93","truth",1,2
"94","usual",0.4,2
"95","warm",0.5,2
"96","winnings",1,2
"97","worked",0.25,2
"98","worse",-0.75,2
"99","yes",0.8,2
"100","accompany",0.4,1
"101","accompanying",0.25,1
"102","aching",-0.75,1
"103","acquitted",-0.25,1
"104","addled",-0.6,1
"105","admit",0.6,1
"106","affronted",-1,1
"107","afraid",-0.75,1
"108","agree",0.5,1
"109","agreed",0.5,1
"110","alarm",-0.75,1
"111","alert",-0.25,1
"112","allow",0.25,1
"113","alone",-0.6,1
"114","amazed",0.5,1
"115","anger",-0.75,1
"116","apprehension",-0.75,1
"117","arrested",-0.5,1
"118","assure",0.8,1
"119","astonished",0.5,1
"120","avoided",-0.5,1
"121","barrier",-0.5,1
"122","battle",-0.5,1
"123","bent",-0.4,1
"124","best",0.5,1
"125","betrayed",-1,1
"126","bite",-0.6,1
"127","blinded",-1,1
"128","brains",0.6,1
"129","bristled",-0.6,1
"130","broken",-0.75,1
"131","brother",0.4,1
"132","burden",-0.75,1
"133","burn",-0.4,1
"134","calm",0.75,1
"135","capture",-0.6,1
"136","ceremony",0.6,1
"137","chance",0.25,1
"138","chill",-0.1,1
"139","clapped",0.25,1
"140","clear",0.5,1
"141","clearer",0.8,1
"142","cold",-0.5,1
"143","comfortable",0.5,1
"144","comforting",0.5,1
"145","community",0.6,1
"146","confess",-0.5,1
"147","confession",-0.75,1
"148","consent",0.8,1
"149","considerable",0.1,1
"150","contrary",-0.6,1
"151","coolly",0.25,1
"152","correct",0.6,1
"153","courage",0.75,1
"154","crackpot",-1,1
"155","cradling",0.8,1
"156","cried",-1,1
"157","curious",0.4,1
"158","curse",-0.75,1
"159","cut",-0.25,1
"160","dagger",-0.8,1
"161","dazed",-0.75,1
"162","dear",0.5,1
"163","defiant",-0.75,1
"164","demanded",-0.4,1
"165","demanding",-0.5,1
"166","destroy",-0.5,1
"167","destroyed",-0.75,1
"168","determined",0.5,1
"169","disgust",-1,1
"170","dislike",-1,1
"171","disruption",-0.75,1
"172","distress",-1,1
"173","disturbing",-0.5,1
"174","doubtless",0.5,1
"175","drowned",-0.8,1
"176","easier",0.8,1
"177","enchanted",1,1
"178","enough",-0.25,1
"179","essential",0.6,1
"180","exhaustion",-0.5,1
"181","expect",0.4,1
"182","expressionless",-0.6,1
"183","extend",0.5,1
"184","facts",0.4,1
"185","fall",-0.25,1
"186","falling",-0.75,1
"187","fatal",-0.5,1
"188","fault",-0.5,1
"189","fear",-0.75,1
"190","fears",-1,1
"191","fellow",0.4,1
"192","fine",0.25,1
"193","fled",-0.8,1
"194","fleeting",-0.4,1
"195","fondness",1,1
"196","fool",-0.75,1
"197","forced",-0.5,1
"198","forgive",0.5,1
"199","freedom",0.75,1
"200","fresh",0.5,1
"201","friendly",0.75,1
"202","friendship",0.5,1
"203","frozen",-0.25,1
