"","word","score","n"
"1","death",-0.75,8
"2","hollow",-0.5,8
"3","like",0.5,8
"4","good",0.75,7
"5","young",0.4,7
"6","dark",-0.6,6
"7","friend",0.8,6
"8","alone",-0.6,5
"9","best",0.5,5
"10","greater",0.5,5
"11","lost",-0.75,4
"12","new",0.8,4
"13","trust",0.5,4
"14","yes",0.8,4
"15","alive",0.5,3
"16","anger",-0.75,3
"17","boy",0.25,3
"18","brother",0.4,3
"19","devoted",0.8,3
"20","died",-0.5,3
"21","dreadful",-0.75,3
"22","friendship",0.5,3
"23","funeral",-0.8,3
"24","great",0.5,3
"25","loved",0.5,3
"26","poor",-0.5,3
"27","right",0.8,3
"28","thanks",0.6,3
"29","wizard",0.4,3
"30","angry",-0.75,2
"31","awful",-0.75,2
"32","blow",-0.4,2
"33","breaking",-0.6,2
"34","brilliant",1,2
"35","broken",-0.75,2
"36","care",1,2
"37","dead",-1,2
"38","die",-0.75,2
"39","doubt",-0.75,2
"40","empty",-0.25,2
"41","expelled",-0.6,2
"42","famous",0.5,2
"43","fatal",-0.5,2
"44","fear",-0.75,2
"45","fight",-0.5,2
"46","fighting",-0.8,2
"47","force",-0.6,2
"48","fury",-0.5,2
"49","glory",0.75,2
"50","greatest",0.5,2
"51","hard",-0.25,2
"52","magical",0.75,2
"53","protection",0.8,2
"54","reason",0.6,2
"55","shame",-0.75,2
"56","shared",0.8,2
"57","shocking",-0.75,2
"58","sorry",-0.5,2
"59","struck",-0.5,2
"60","sun",0.6,2
"61","talk",0.4,2
"62","tears",-0.8,2
"63","truth",1,2
"64","useless",-0.75,2
"65","well",0.8,2
"66","wild",-0.25,2
"67","winner",0.75,2
"68","worth",0.75,2
"69","wrong",-0.75,2
"70","abilities",0.6,1
"71","abrupt",-0.25,1
"72","accept",1,1
"73","accident",-0.5,1
"74","acid",-0.4,1
"75","action",0.25,1
"76","affection",1,1
"77","agreed",0.5,1
"78","alarmed",-0.75,1
"79","alas",-0.4,1
"80","appalled",-0.5,1
"81","appreciate",0.5,1
"82","ashes",-0.4,1
"83","atrocities",-0.5,1
"84","attack",-0.75,1
"85","attacks",-0.5,1
"86","attainment",0.8,1
"87","attention",0.25,1
"88","aunt",0.25,1
"89","awards",0.5,1
"90","believing",0.8,1
"91","birthday",0.8,1
"92","blame",-0.75,1
"93","blamed",-0.5,1
"94","blaze",-0.25,1
"95","blind",-0.75,1
"96","blindly",-1,1
"97","brawl",-0.5,1
"98","brilliance",0.5,1
"99","broke",-0.75,1
"100","build",0.1,1
"101","calamity",-1,1
"102","capture",-0.6,1
"103","celebrated",1,1
"104","certainty",0.8,1
"105","champion",0.5,1
"106","charm",0.75,1
"107","charming",1,1
"108","church",0.1,1
"109","clean",0.75,1
"110","clearly",0.5,1
"111","coffin",-0.6,1
"112","cold",-0.5,1
"113","colorless",-0.25,1
"114","comfort",0.75,1
"115","comforting",0.5,1
"116","committed",0.5,1
"117","companion",0.5,1
"118","complain",-0.75,1
"119","contribution",0.5,1
