"","word","score","n"
"1","snake",-0.25,24
"2","like",0.5,14
"3","dark",-0.6,12
"4","right",0.8,8
"5","broken",-0.75,7
"6","child",0.6,7
"7","cold",-0.5,7
"8","pain",-0.75,7
"9","please",1,7
"10","magic",0.25,6
"11","thief",-1,6
"12","yes",0.8,6
"13","black",-0.25,5
"14","boy",0.25,5
"15","curse",-0.75,5
"16","dead",-1,5
"17","well",0.8,5
"18","broke",-0.75,4
"19","charm",0.75,4
"20","hit",-0.25,4
"21","kill",-0.75,4
"22","scar",-0.5,4
"23","scream",-1,4
"24","smashed",-0.6,4
"25","white",0.4,4
"26","darkness",-0.75,3
"27","dust",-0.5,3
"28","fault",-0.5,3
"29","fear",-0.75,3
"30","fell",-0.5,3
"31","fire",-0.25,3
"32","hard",-0.25,3
"33","leave",-0.25,3
"34","new",0.8,3
"35","screamed",-0.6,3
"36","slowly",-0.25,3
"37","smelled",-0.25,3
"38","sorry",-0.5,3
"39","struck",-0.5,3
"40","terrible",-0.75,3
"41","unknown",-0.5,3
"42","amusement",0.5,2
"43","backward",-0.5,2
"44","bad",-0.75,2
"45","beckoned",0.5,2
"46","bright",0.5,2
"47","candlelit",0.6,2
"48","church",0.1,2
"49","clearly",0.5,2
"50","completely",0.4,2
"51","cried",-1,2
"52","cut",-0.25,2
"53","danger",-0.75,2
"54","death",-0.75,2
"55","die",-0.75,2
"56","dirty",-0.75,2
"57","dragging",-0.25,2
"58","easy",0.8,2
"59","enough",-0.25,2
"60","faster",0.6,2
"61","fetid",-1,2
"62","filthy",-0.5,2
"63","flying",0.1,2
"64","force",-0.6,2
"65","forced",-0.5,2
"66","frozen",-0.25,2
"67","glad",0.75,2
"68","golden",0.6,2
"69","grave",-0.5,2
"70","great",0.5,2
"71","growing",0.8,2
"72","hollow",-0.5,2
"73","ill",-0.5,2
"74","jerk",-0.5,2
"75","laughing",0.6,2
"76","lead",0.25,2
"77","leading",0.25,2
"78","led",0.4,2
"79","level",0.4,2
"80","loud",-0.25,2
"81","louder",-0.25,2
"82","mercy",1,2
"83","missing",-0.5,2
"84","painfully",-0.5,2
"85","panic",-0.8,2
"86","powerful",0.75,2
"87","reassuring",1,2
"88","rubble",-0.6,2
"89","ruined",-0.75,2
"90","screaming",-0.5,2
"91","smell",-0.25,2
"92","smelling",-0.25,2
"93","smile",0.75,2
"94","smoke",-0.25,2
"95","snatched",-0.8,2
"96","split",-0.5,2
"97","stuck",-0.25,2
"98","survived",0.4,2
"99","tears",-0.8,2
"100","trapped",-0.5,2
"101","triumph",0.75,2
"102","uneasy",-1,2
"103","unnecessary",-0.6,2
"104","vanished",-0.6,2
"105","wait",-0.25,2
"106","witch",-0.4,2
"107","worse",-0.75,2
"108","worth",0.75,2
"109","wrong",-0.75,2
"110","ability",0.5,1
"111","abruptly",-0.25,1
"112","accident",-0.5,1
"113","advanced",0.75,1
"114","aghast",-1,1
"115","alone",-0.6,1
"116","anger",-0.75,1
"117","attack",-0.75,1
"118","attacked",-1,1
"119","attention",0.25,1
"120","avoid",-0.5,1
"121","awful",-0.75,1
"122","baby",0.6,1
"123","badly",-0.75,1
"124","barricade",-0.6,1
"125","beamed",0.8,1
"126","beating",-0.5,1
"127","bent",-0.4,1
"128","bite",-0.6,1
"129","bizarre",-0.75,1
"130","blow",-0.4,1
"131","blur",-0.5,1
"132","bowed",-0.25,1
"133","brightly",0.6,1
"134","brilliant",1,1
"135","bunk",-0.25,1
"136","burned",-0.6,1
"137","carefully",0.25,1
"138","chance",0.25,1
"139","chaos",-0.75,1
"140","chosen",0.6,1
"141","clear",0.5,1
"142","cloud",-0.25,1
"143","collapsing",-0.5,1
"144","cracked",-0.5,1
"145","cramped",-0.5,1
"146","crashing",-1,1
"147","cry",-0.75,1
"148","crying",-0.5,1
"149","curses",-0.8,1
"150","damage",-0.75,1
"151","dank",-0.4,1
"152","darker",-0.6,1
"153","dawn",0.5,1
"154","deserted",-0.6,1
"155","desiring",0.5,1
"156","destroy",-0.5,1
"157","destruction",-0.75,1
"158","died",-0.5,1
"159","discarded",-0.6,1
"160","distracted",-0.5,1
"161","dizzyingly",-0.4,1
"162","drowned",-0.8,1
"163","dusty",-0.6,1
"164","edged",-0.25,1
"165","empty",-0.25,1
"166","ensure",0.8,1
"167","erupt",-0.4,1
"168","everlasting",0.75,1
"169","excited",0.75,1
"170","extinguished",-0.25,1
"171","faint",-0.8,1
"172","falling",-0.75,1
"173","falsely",-0.5,1
"174","falter",-0.75,1
"175","feeble",-0.75,1
"176","feebly",-0.8,1
"177","feeling",0.25,1
"178","fine",0.25,1
"179","fingered",-0.25,1
"180","fist",-0.4,1
"181","food",0.4,1
"182","forgotten",-0.5,1
"183","foul",-0.75,1
"184","fragile",-0.5,1
"185","frantic",-0.75,1
"186","free",0.5,1
"187","frightened",-0.5,1
"188","frustration",-1,1
"189","garden",0.6,1
"190","gasp",-0.8,1
"191","giving",0.25,1
"192","glow",0.25,1
"193","gold",0.5,1
"194","greatest",0.5,1
"195","halt",-0.4,1
"196","hanging",-0.25,1
"197","hastily",-0.4,1
"198","haunted",-0.75,1
"199","hissing",-0.5,1
"200","hood",-0.25,1
"201","horrible",-0.75,1
"202","horribly",-0.5,1
"203","horror",-1,1
"204","hostage",-0.5,1
"205","hurt",-0.75,1
"206","impression",0.1,1
"207","incredible",0.5,1
"208","inexplicable",-0.6,1
"209","injury",-0.75,1
"210","instantly",-0.25,1
"211","instinctively",0.4,1
"212","interest",0.5,1
"213","joy",0.75,1
"214","kidnapped",-1,1
"215","killed",-0.5,1
"216","killing",-0.75,1
"217","kind",0.5,1
"218","knowing",0.6,1
"219","laughed",0.8,1
"220","lazy",-0.75,1
"221","lies",-1,1
"222","loss",-0.75,1
"223","lost",-0.75,1
"224","luck",0.75,1
"225","lunged",-0.4,1
"226","lying",-0.5,1
"227","magical",0.75,1
"228","merry",1,1
"229","mess",-0.75,1
"230","moaning",-0.25,1
"231","monument",0.6,1
"232","mottled",-0.4,1
"233","muscular",0.6,1
"234","nauseated",-1,1
"235","neatly",0.5,1
"236","nervous",-0.75,1
"237","nice",0.5,1
"238","nothingness",-0.25,1
"239","obliterated",-0.75,1
"240","odd",-0.25,1
"241","offense",-0.5,1
"242","ornate",0.8,1
"243","orphanage",-1,1
"244","overgrown",-1,1
"245","overpower",-0.5,1
"246","pained",-1,1
"247","paralyzed",-0.75,1
"248","peeling",-0.4,1
"249","powerfully",0.25,1
"250","precariously",-0.5,1
"251","pretended",-0.25,1
"252","pretty",0.75,1
"253","properly",1,1
"254","prudent",0.5,1
"255","rage",-1,1
"256","refuge",1,1
"257","ricocheting",-0.25,1
"258","rightness",1,1
"259","ripped",-0.25,1
"260","ruin",-0.75,1
"261","safety",0.8,1
"262","sanguine",0.6,1
"263","scant",-0.25,1
"264","scrambled",-0.25,1
"265","sear",-0.4,1
"266","seared",-0.4,1
"267","seized",-0.6,1
"268","sensation",0.6,1
"269","sensible",0.8,1
"270","shattered",-0.5,1
"271","shining",0.6,1
"272","shriek",-0.5,1
"273","sick",-0.75,1
"274","silly",-0.25,1
"275","slithered",-0.6,1
"276","slower",-0.25,1
"277","smacking",-0.6,1
"278","smiling",0.75,1
"279","smooth",0.6,1
"280","sour",-0.5,1
"281","sparkling",0.5,1
"282","stale",-0.5,1
"283","steep",-0.25,1
"284","stole",-0.8,1
"285","stolen",-0.75,1
"286","stop",-0.4,1
"287","straight",0.6,1
"288","strangest",-0.25,1
"289","stronger",0.5,1
"290","stunned",-0.25,1
"291","stupid",-1,1
"292","suffered",-1,1
"293","summons",-0.25,1
"294","sunken",-0.6,1
"295","suspicions",-0.5,1
"296","swayed",-0.4,1
"297","sweaty",-0.5,1
"298","talk",0.4,1
"299","tangled",-0.75,1
"300","tangles",-0.6,1
"301","tawdry",-0.8,1
"302","terror",-1,1
"303","thrashed",-0.25,1
"304","thrashing",-1,1
"305","throbbed",-0.6,1
"306","topple",-0.5,1
"307","transparent",-0.25,1
"308","trappings",-0.6,1
"309","trusting",1,1
"310","twisted",-0.25,1
"311","unable",-0.5,1
"312","unbearably",-0.8,1
"313","uncomfortably",-0.5,1
"314","unconscious",-0.5,1
"315","unpleasant",-0.75,1
"316","unsafe",-0.5,1
"317","unwashed",-0.6,1
"318","usual",0.4,1
"319","vague",-0.75,1
"320","vigor",0.5,1
"321","violence",-0.5,1
"322","vivid",0.5,1
"323","warning",-0.5,1
"324","weaker",-1,1
"325","weeds",-0.25,1
"326","weirdly",-0.8,1
"327","wheezing",-1,1
"328","whining",-1,1
"329","wild",-0.25,1
"330","wishing",0.8,1
"331","wizard",0.4,1
"332","worst",-0.5,1
"333","wound",-0.5,1
"334","wreck",-0.75,1
"335","wrinkled",-0.4,1
"336","young",0.4,1
