"","word","score","n"
"1","like",0.5,20
"2","magic",0.25,10
"3","garden",0.6,8
"4","dear",0.5,7
"5","right",0.8,7
"6","wizard",0.4,5
"7","big",0.25,4
"8","bright",0.5,4
"9","staring",-0.25,4
"10","well",0.8,4
"11","breakfast",0.6,3
"12","clean",0.75,3
"13","fat",-0.5,3
"14","flying",0.1,3
"15","good",0.75,3
"16","hard",-0.25,3
"17","pleased",0.75,3
"18","stop",-0.4,3
"19","worried",-0.75,3
"20","bent",-0.4,2
"21","best",0.5,2
"22","better",0.8,2
"23","crashed",-0.6,2
"24","dark",-0.6,2
"25","dashed",0.25,2
"26","died",-0.5,2
"27","disappeared",-0.6,2
"28","eagerly",0.8,2
"29","enchanting",0.5,2
"30","fault",-0.5,2
"31","gold",0.5,2
"32","hit",-0.25,2
"33","household",0.6,2
"34","kind",0.5,2
"35","loophole",-0.25,2
"36","louder",-0.25,2
"37","lying",-0.5,2
"38","mad",-0.75,2
"39","nasty",-1,2
"40","rusty",-0.25,2
"41","shocked",-0.5,2
"42","sink",-0.25,2
"43","sorry",-0.5,2
"44","sun",0.6,2
"45","talk",0.4,2
"46","violent",-0.75,2
"47","wait",-0.25,2
"48","warning",-0.5,2
"49","wonderful",0.75,2
"50","work",0.25,2
"51","works",0.25,2
"52","worry",-0.75,2
"53","wrong",-0.75,2
"54","yes",0.8,2
"55","admit",0.6,1
"56","adventures",0.25,1
"57","agreed",0.5,1
"58","ancient",0.25,1
"59","angry",-0.75,1
"60","anxiously",-1,1
"61","arrest",-0.5,1
"62","assured",0.8,1
"63","audible",0.1,1
"64","aunt",0.25,1
"65","backed",0.25,1
"66","beamed",0.8,1
"67","berserk",-0.5,1
"68","black",-0.25,1
"69","blame",-0.75,1
"70","blankly",-0.4,1
"71","bless",1,1
"72","boring",-1,1
"73","bother",-0.75,1
"74","boy",0.25,1
"75","brilliant",1,1
"76","broke",-0.75,1
"77","cage",-0.6,1
"78","care",1,1
"79","catlike",0.25,1
"80","chance",0.25,1
"81","charm",0.75,1
"82","clamped",-0.4,1
"83","clearly",0.5,1
"84","cloudy",-0.25,1
"85","collapsed",-0.8,1
"86","completely",0.4,1
"87","convict",-0.8,1
"88","cough",-0.8,1
"89","cowered",-1,1
"90","cramped",-0.5,1
"91","crazy",-0.75,1
"92","creeping",-0.6,1
"93","crooked",-0.5,1
"94","crunching",-0.25,1
"95","dead",-1,1
"96","deadly",-0.75,1
"97","deceiving",-0.75,1
"98","delivery",0.6,1
"99","dirty",-0.75,1
"100","disappear",-0.6,1
"101","diversion",-0.25,1
"102","dizzy",-0.75,1
"103","dull",-0.75,1
"104","dusty",-0.6,1
"105","elder",0.4,1
"106","empty",-0.25,1
"107","enchant",0.5,1
"108","encouragingly",1,1
"109","extra",0.4,1
"110","faint",-0.8,1
"111","faltered",-0.8,1
"112","fancy",0.5,1
"113","fell",-0.5,1
"114","fiasco",-0.75,1
"115","finally",0.4,1
"116","fishy",-0.6,1
"117","forget",-0.5,1
"118","forgotten",-0.5,1
"119","frantic",-0.75,1
"120","free",0.5,1
"121","frowning",-0.75,1
"122","funny",0.8,1
"123","gang",-0.8,1
"124","ghost",-0.6,1
"125","gigantic",0.25,1
"126","glad",0.75,1
"127","glaring",-0.8,1
"128","glide",0.6,1
"129","glow",0.25,1
"130","gnarled",-0.8,1
"131","goodness",1,1
"132","great",0.5,1
"133","grimly",-1,1
"134","grin",0.5,1
"135","groaned",-0.8,1
"136","groping",-0.4,1
"137","grudge",-0.75,1
"138","guide",0.6,1
"139","guiltily",-0.5,1
"140","guilty",-0.75,1
"141","halt",-0.4,1
"142","hanging",-0.25,1
"143","happily",0.5,1
"144","hates",-0.75,1
"145","hoarse",-0.8,1
"146","hopefully",0.6,1
"147","horizon",0.25,1
"148","hurried",-0.25,1
"149","hurt",-0.75,1
"150","ignore",-0.75,1
"151","illegal",-1,1
"152","impatiently",-0.8,1
"153","important",0.75,1
"154","information",0.4,1
"155","insist",-0.25,1
"156","instantly",-0.25,1
"157","joke",0.6,1
"158","joyfully",0.5,1
"159","king",0.1,1
"160","knife",-0.4,1
"161","knowing",0.6,1
"162","late",-0.25,1
"163","laughed",0.8,1
"164","laughter",0.8,1
"165","league",0.25,1
"166","learning",0.8,1
"167","leave",-0.25,1
"168","liked",0.5,1
"169","lopsided",-0.6,1
"170","losing",-0.75,1
"171","lost",-0.75,1
"172","loud",-0.25,1
"173","lousy",-1,1
"174","love",0.75,1
"175","main",0.4,1
"176","marvelous",1,1
"177","misuse",-0.5,1
"178","nervous",-0.75,1
"179","nervously",-0.5,1
"180","nightmare",-0.75,1
"181","odd",-0.25,1
"182","oddly",-0.6,1
"183","pecking",-0.25,1
"184","peeling",-0.4,1
"185","perfect",0.75,1
"186","permission",0.8,1
"187","pitiful",-1,1
"188","popular",0.5,1
"189","powerful",0.75,1
"190","pretty",0.75,1
"191","problem",-0.75,1
"192","rage",-1,1
"193","rat",-0.5,1
"194","remarkable",0.75,1
"195","rich",0.5,1
"196","ridiculous",-0.75,1
"197","rubbish",-0.75,1
"198","rumors",-0.6,1
"199","saber",-0.25,1
"200","safely",0.5,1
"201","scrambling",-0.25,1
"202","screech",-0.5,1
"203","seized",-0.6,1
"204","sensitive",0.25,1
"205","shabby",-0.5,1
