"","word","score","n"
"1","sir",0.25,16
"2","like",0.5,15
"3","gold",0.5,12
"4","snitch",-1,10
"5","great",0.5,9
"6","right",0.8,9
"7","hard",-0.25,8
"8","good",0.75,7
"9","supporters",0.8,7
"10","stopped",-0.4,6
"11","golden",0.6,5
"12","magic",0.25,5
"13","shot",-0.4,5
"14","yes",0.8,5
"15","applause",0.5,4
"16","black",-0.25,4
"17","enough",-0.25,4
"18","hit",-0.25,4
"19","well",0.8,4
"20","ahead",0.8,3
"21","applauding",0.8,3
"22","beautiful",0.75,3
"23","cheers",1,3
"24","completely",0.4,3
"25","crash",-0.75,3
"26","creature",-0.25,3
"27","dance",0.6,3
"28","dark",-0.6,3
"29","empty",-0.25,3
"30","faster",0.6,3
"31","flying",0.1,3
"32","foul",-0.75,3
"33","furious",-1,3
"34","glittering",0.6,3
"35","honor",1,3
"36","level",0.4,3
"37","loud",-0.25,3
"38","magical",0.75,3
"39","mess",-0.75,3
"40","nice",0.5,3
"41","ready",0.8,3
"42","screamed",-0.6,3
"43","slow",-0.25,3
"44","staring",-0.25,3
"45","welcome",0.5,3
"46","white",0.4,3
"47","wild",-0.25,3
"48","allow",0.25,2
"49","angrily",-0.5,2
"50","angry",-0.75,2
"51","approval",1,2
"52","awestruck",0.6,2
"53","best",0.5,2
"54","blast",-0.4,2
"55","blasts",-0.4,2
"56","boy",0.25,2
"57","center",0.25,2
"58","comfortably",1,2
"59","dazed",-0.75,2
"60","embarrassed",-0.4,2
"61","excitedly",0.8,2
"62","feint",-0.6,2
"63","fire",-0.25,2
"64","focused",0.6,2
"65","force",-0.6,2
"66","forward",0.6,2
"67","found",0.6,2
"68","free",0.5,2
"69","freedom",0.75,2
"70","friend",0.8,2
"71","fun",0.75,2
"72","gigantic",0.25,2
"73","gleefully",0.5,2
"74","groan",-0.8,2
"75","happily",0.5,2
"76","hidden",-0.25,2
"77","kindly",0.5,2
"78","lead",0.25,2
"79","leading",0.25,2
"80","louder",-0.25,2
"81","music",0.6,2
"82","nasty",-1,2
"83","oddly",-0.6,2
"84","penalty",-0.75,2
"85","player",-0.1,2
"86","refused",-0.75,2
"87","scar",-0.5,2
"88","shining",0.6,2
"89","slowly",-0.25,2
"90","smiling",0.75,2
"91","straight",0.6,2
"92","supporting",0.75,2
"93","task",-0.25,2
"94","terrible",-0.75,2
"95","whipped",-0.8,2
"96","wins",0.5,2
"97","wizard",0.4,2
"98","worrying",-0.75,2
"99","acclaimed",0.6,1
"100","action",0.25,1
"101","alone",-0.6,1
"102","amused",0.5,1
"103","anger",-0.75,1
"104","anthems",0.4,1
"105","appreciatively",1,1
"106","attacking",-0.5,1
"107","avoid",-0.5,1
"108","battle",-0.5,1
"109","battling",-0.6,1
"110","bemused",-0.25,1
"111","better",0.8,1
"112","blame",-0.75,1
"113","blankly",-0.4,1
"114","blasted",-0.4,1
"115","bless",1,1
"116","blinded",-1,1
"117","blinding",-0.8,1
"118","blissfully",1,1
"119","block",-0.4,1
"120","bloody",-0.75,1
"121","blow",-0.4,1
"122","blurred",-0.5,1
"123","blurs",-0.5,1
"124","booming",-0.25,1
"125","bothered",-0.5,1
"126","bowed",-0.25,1
"127","brave",0.5,1
"128","bravely",1,1
"129","break",-0.25,1
"130","bright",0.5,1
"131","brightly",0.6,1
"132","broken",-0.75,1
"133","brutal",-0.5,1
"134","care",1,1
"135","celebration",0.75,1
"136","clapped",0.25,1
"137","clear",0.5,1
"138","clearly",0.5,1
"139","cold",-0.5,1
"140","collide",-0.5,1
"141","contact",0.4,1
"142","contemptuous",-0.75,1
"143","contrary",-0.6,1
"144","contribution",0.5,1
"145","cruel",-1,1
"146","curiously",0.4,1
"147","curl",-0.25,1
"148","dangerous",-0.5,1
"149","daresay",-0.25,1
"150","dashing",0.75,1
"151","dazzled",0.8,1
"152","deafening",-1,1
"153","defeated",-1,1
"154","defensive",-0.5,1
"155","dejected",-0.75,1
"156","delight",1,1
"157","dirtier",-0.8,1
"158","discordant",-1,1
"159","disgruntled",-0.5,1
"160","disrespect",-0.75,1
"161","distracted",-0.5,1
"162","diversion",-0.25,1
"163","dull",-0.75,1
"164","eagerly",0.8,1
"165","enemies",-0.5,1
"166","erupted",-0.6,1
"167","excellent",1,1
"168","exceptionally",1,1
"169","excessive",-0.8,1
"170","excited",0.75,1
"171","excitement",1,1
"172","exciting",0.75,1
"173","falling",-0.75,1
"174","familiar",0.8,1
"175","fatherly",0.6,1
"176","favor",0.6,1
"177","fell",-0.5,1
"178","female",0.4,1
"179","ferocity",-0.5,1
"180","fervently",0.25,1
"181","feverish",-0.75,1
"182","fiercely",-0.25,1
"183","fight",-0.5,1
"184","fighting",-0.8,1
"185","finally",0.4,1
"186","fist",-0.4,1
"187","fistful",-0.4,1
"188","fit",0.4,1
"189","flourish",0.8,1
"190","fondly",0.5,1
"191","fool",-0.75,1
"192","forced",-0.5,1
"193","forlorn",-0.5,1
"194","frightened",-0.5,1
"195","frowning",-0.75,1
"196","frozen",-0.25,1
"197","funny",0.8,1
"198","furiously",-1,1
"199","gallant",0.75,1
"200","generous",0.75,1
"201","gloomy",-1,1
"202","goblin",-0.8,1
"203","greet",0.8,1
"204","greeted",0.8,1
"205","grinned",0.4,1
"206","grins",0.8,1
"207","hanging",-0.25,1
"208","hastily",-0.4,1
"209","horde",-0.75,1
"210","horrified",-0.75,1
"211","horror",-1,1
"212","hurried",-0.25,1
"213","hurtled",-0.4,1
"214","idiot",-1,1
"215","impatiently",-0.8,1
"216","important",0.75,1
"217","impressed",0.5,1
"218","impressive",0.75,1
"219","incredible",0.5,1
"220","incredulously",-0.4,1
"221","infectious",-1,1
"222","injured",-0.75,1
"223","interest",0.5,1
"224","interference",-0.5,1
"225","introduced",0.6,1
"226","jealous",-0.75,1
"227","joking",0.6,1
"228","journey",0.4,1
"229","laughter",0.8,1
"230","launched",0.25,1
"231","likes",0.5,1
"232","liking",0.5,1
"233","lofty",-0.25,1
"234","losers",-1,1
"235","lost",-0.75,1
"236","mercy",1,1
"237","mistaken",-1,1
"238","moaned",-0.25,1
"239","mysterious",-0.4,1
"240","new",0.8,1
"241","numb",-0.75,1
"242","outraged",-0.75,1
"243","overgrown",-1,1
"244","pain",-0.75,1
"245","pale",-0.6,1
"246","please",1,1
"247","ploy",-0.5,1
"248","plummeted",-0.8,1
"249","polished",0.5,1
"250","present",0.25,1
"251","prevent",-0.25,1
"252","prey",-0.5,1
"253","prime",0.1,1
"254","pure",1,1
"255","puzzled",-0.75,1
"256","quivering",-0.6,1
"257","rage",-1,1
"258","reading",0.1,1
"259","reliable",0.5,1
"260","repelling",-0.8,1
"261","resounding",0.6,1
"262","revival",0.5,1
"263","rich",0.5,1
"264","risk",-0.75,1
"265","rival",-0.25,1
"266","rude",-0.5,1
"267","rumbling",-0.25,1
"268","sadly",-1,1
"269","safe",0.75,1
"270","save",0.5,1
"271","saving",0.8,1
"272","scaly",-0.5,1
"273","scrambled",-0.25,1
"274","scream",-1,1
"275","screaming",-0.5,1
"276","screams",-0.6,1
"277","screwed",-0.75,1
"278","seamless",0.6,1
"279","shame",-0.75,1
"280","shattered",-0.5,1
"281","shimmering",0.6,1
"282","shine",0.5,1
"283","shrill",-0.75,1
"284","skill",0.8,1
"285","slap",-0.5,1
"286","slim",0.6,1
"287","slimy",-0.8,1
"288","slowed",-0.25,1
"289","smell",-0.25,1
"290","smile",0.75,1
"291","smooth",0.6,1
"292","sneeringly",-1,1
"293","solid",0.25,1
"294","sorry",-0.5,1
"295","spectacularly",1,1
"296","splendid",1,1
"297","split",-0.5,1
"298","stain",-0.5,1
"299","stop",-0.4,1
"300","strained",-0.75,1
"301","strangely",-0.5,1
"302","struck",-0.5,1
"303","stuck",-0.25,1
