"","word","score","n"
"1","right",0.8,19
"2","bane",-0.5,14
"3","like",0.5,12
"4","well",0.8,11
"5","professor",0.4,10
"6","dark",-0.6,8
"7","hurt",-0.75,8
"8","good",0.75,7
"9","bright",0.5,6
"10","dead",-1,6
"11","enough",-0.25,6
"12","lost",-0.75,6
"13","trouble",-0.5,6
"14","ahead",0.8,4
"15","bad",-0.75,4
"16","best",0.5,4
"17","better",0.8,4
"18","fire",-0.25,4
"19","found",0.6,4
"20","pain",-0.75,4
"21","stopped",-0.4,4
"22","yes",0.8,4
"23","black",-0.25,3
"24","boy",0.25,3
"25","careful",0.25,3
"26","die",-0.75,3
"27","fallen",-0.5,3
"28","forget",-0.5,3
"29","glad",0.75,3
"30","late",-0.25,3
"31","learn",0.8,3
"32","lose",-0.25,3
"33","odd",-0.25,3
"34","poor",-0.5,3
"35","stop",-0.4,3
"36","warn",-0.75,3
"37","white",0.4,3
"38","working",0.25,3
"39","worse",-0.75,3
"40","alive",0.5,2
"41","anger",-0.75,2
"42","ashamed",-1,2
"43","badly",-0.75,2
"44","carefully",0.25,2
"45","chance",0.25,2
"46","comfort",0.75,2
"47","cracking",-0.4,2
"48","cursed",-0.5,2
"49","dangerous",-0.5,2
"50","darkness",-0.75,2
"51","dawn",0.5,2
"52","detention",-0.5,2
"53","disappeared",-0.6,2
"54","fear",-0.75,2
"55","forgotten",-0.5,2
"56","friendly",0.75,2
"57","hope",0.5,2
"58","lead",0.25,2
"59","leading",0.25,2
"60","library",0.6,2
"61","magic",0.25,2
"62","misery",-0.75,2
"63","nervously",-0.5,2
"64","new",0.8,2
"65","pale",-0.6,2
"66","please",1,2
"67","practice",0.4,2
"68","quicker",0.4,2
"69","relief",0.5,2
"70","resign",-0.5,2
"71","safe",0.75,2
"72","saved",0.8,2
"73","scar",-0.5,2
"74","scared",-0.5,2
"75","staring",-0.25,2
"76","stupid",-1,2
"77","terrible",-0.75,2
"78","unusual",-0.6,2
"79","usual",0.4,2
"80","wait",-0.25,2
"81","work",0.25,2
"82","wrong",-0.75,2
"83","accept",1,1
"84","admired",0.5,1
"85","admitted",0.6,1
"86","adventure",0.5,1
"87","afraid",-0.75,1
"88","agreed",0.5,1
"89","alone",-0.6,1
"90","ancient",0.25,1
"91","angry",-0.75,1
"92","astonishingly",0.5,1
"93","attention",0.25,1
"94","backward",-0.5,1
"95","beast",-0.5,1
"96","beautiful",0.75,1
"97","blinded",-1,1
"98","blocked",-0.4,1
"99","blundering",-1,1
"100","bowed",-0.25,1
"101","break",-0.25,1
"102","breakfast",0.6,1
"103","breaking",-0.6,1
"104","breeze",0.1,1
"105","care",1,1
"106","cheering",0.5,1
"107","choking",-0.5,1
"108","clapped",0.25,1
"109","clean",0.75,1
"110","cock",-0.25,1
"111","coldly",-0.75,1
"112","commit",-0.25,1
"113","complain",-0.75,1
"114","complicated",-0.5,1
"115","concern",-0.6,1
"116","concerned",-0.6,1
"117","convinced",0.6,1
"118","cool",0.75,1
"119","cornered",-0.8,1
"120","coward",-1,1
"121","crashing",-1,1
"122","creature",-0.25,1
"123","creeping",-0.6,1
"124","crime",-0.75,1
"125","crunching",-0.25,1
"126","cry",-0.75,1
"127","damage",-0.75,1
"128","death",-0.75,1
"129","defenseless",-0.5,1
"130","delighted",0.75,1
"131","depended",-0.25,1
"132","deserved",0.25,1
"133","desperate",-0.75,1
"134","died",-0.5,1
"135","disgusted",-0.75,1
"136","drag",-0.5,1
"137","dragged",-0.5,1
"138","dreading",-1,1
"139","easy",0.8,1
"140","elixir",-0.25,1
"141","empty",-0.25,1
"142","enjoying",0.75,1
"143","excuses",-0.5,1
"144","exhausted",-0.75,1
"145","expelled",-0.6,1
"146","failed",-0.5,1
"147","fair",0.75,1
"148","famous",0.5,1
"149","fault",-0.5,1
"150","feeble",-0.75,1
"151","feeling",0.25,1
"152","fell",-0.5,1
"153","fiercely",-0.25,1
"154","fine",0.25,1
"155","fist",-0.4,1
"156","fitted",0.4,1
"157","force",-0.6,1
"158","fortune",0.5,1
"159","forward",0.6,1
"160","freeze",-0.4,1
"161","frightened",-0.5,1
"162","frowning",-0.75,1
"163","fuming",-0.5,1
"164","fun",0.75,1
"165","funny",0.8,1
"166","furious",-1,1
"167","furiously",-1,1
"168","furor",-0.5,1
"169","gain",0.75,1
"170","genius",0.5,1
"171","glee",0.75,1
"172","gloomy",-1,1
"173","goblin",-0.8,1
"174","great",0.5,1
"175","grimly",-1,1
"176","grumpily",-0.8,1
"177","hang",-0.25,1
"178","hanging",-0.25,1
"179","happy",0.75,1
"180","hard",-0.25,1
"181","hate",-0.75,1
"182","hated",-0.5,1
"183","heavens",0.8,1
"184","hero",0.75,1
"185","hidden",-0.25,1
"186","hissed",-0.5,1
"187","horrible",-0.75,1
"188","hurried",-0.25,1
"189","idiot",-1,1
"190","impatiently",-0.8,1
"191","impossible",-0.5,1
"192","imprecise",-0.8,1
"193","injured",-0.75,1
"194","innocent",0.8,1
"195","insulted",-0.5,1
"196","interested",0.5,1
"197","interfere",-0.6,1
"198","irritably",-1,1
"199","joke",0.6,1
"200","kill",-0.75,1
"201","killed",-0.5,1
"202","killing",-0.75,1
"203","knowing",0.6,1
"204","leave",-0.25,1
"205","led",0.4,1
"206","lingering",-0.4,1
"207","livid",-0.75,1
"208","longing",-0.25,1
"209","loose",-0.25,1
"210","luck",0.75,1
"211","lucky",0.75,1
"212","lurking",-1,1
"213","magical",0.75,1
"214","meddle",-0.5,1
"215","miserably",-0.5,1
"216","mistake",-0.75,1
"217","mistaken",-1,1
"218","moan",-0.75,1
"219","monstrous",-0.5,1
"220","nastily",-1,1
"221","nasty",-1,1
"222","neatly",0.5,1
"223","oaf",-1,1
"224","oiled",-0.25,1
"225","panic",-0.8,1
"226","panicked",-0.75,1
"227","pay",-0.1,1
"228","pillow",0.4,1
"229","pity",-0.5,1
"230","pleased",0.75,1
"231","popular",0.5,1
"232","powerful",0.75,1
"233","problem",-0.75,1
"234","promised",0.5,1
"235","punished",-0.5,1
"236","punishment",-0.5,1
"237","punishments",-1,1
"238","pure",1,1
"239","quiver",-0.6,1
"240","ready",0.8,1
"241","reason",0.6,1
"242","rich",0.5,1
"243","risks",-0.25,1
"244","ruined",-0.75,1
"245","sad",-0.5,1
"246","save",0.5,1
"247","scream",-1,1
"248","seized",-0.6,1
"249","shame",-0.75,1
"250","shoot",-0.5,1
"251","sigh",-0.4,1
"252","slay",-0.8,1
"253","slender",0.6,1
"254","slowed",-0.25,1
"255","slowly",-0.25,1
"256","sneaking",-0.5,1
"257","sob",-0.5,1
"258","sobbing",-1,1
"259","sore",-1,1
"260","sorrowful",-0.75,1
"261","sorry",-0.5,1
"262","split",-0.5,1
"263","staggered",-0.6,1
"264","stalking",-0.8,1
"265","startled",-0.6,1
"266","steal",-0.75,1
"267","straight",0.6,1
"268","straining",-0.5,1
"269","strange",-0.5,1
"270","stray",-0.5,1
"271","strength",0.5,1
"272","stuck",-0.25,1
"273","study",0.25,1
"274","stunned",-0.25,1
"275","suffering",-1,1
"276","sweaty",-0.5,1
"277","swiftly",0.6,1
"278","talk",0.4,1
"279","tangled",-0.75,1
"280","terrified",-1,1
"281","thank",0.5,1
"282","thanks",0.6,1
"283","thrashing",-1,1
"284","threatening",-1,1
"285","timidly",-0.6,1
"286","towering",-0.4,1
"287","trembling",-0.5,1
"288","troll",-0.8,1
"289","unable",-0.5,1
"290","unexpected",-0.25,1
"291","unusually",-0.6,1
"292","useful",0.5,1
"293","victims",-0.75,1
"294","violently",-0.75,1
"295","warned",-0.5,1
"296","wild",-0.25,1
"297","win",0.5,1
"298","won",0.5,1
"299","worried",-0.75,1
"300","worry",-0.75,1
"301","wound",-0.5,1
"302","wrongly",-0.5,1
"303","younger",0.25,1
