"","word","score","n"
"1","well",0.8,17
"2","like",0.5,16
"3","professor",0.4,16
"4","right",0.8,14
"5","great",0.5,10
"6","black",-0.25,8
"7","good",0.75,8
"8","fell",-0.5,6
"9","snitch",-1,6
"10","coldly",-0.75,5
"11","dark",-0.6,5
"12","found",0.6,5
"13","laughter",0.8,5
"14","leave",-0.25,5
"15","sir",0.25,5
"16","smiling",0.75,5
"17","staring",-0.25,5
"18","stopped",-0.4,5
"19","thank",0.5,5
"20","alone",-0.6,4
"21","boy",0.25,4
"22","carefully",0.25,4
"23","dungeon",-0.5,4
"24","empty",-0.25,4
"25","excitement",1,4
"26","feeling",0.25,4
"27","free",0.5,4
"28","furiously",-1,4
"29","hard",-0.25,4
"30","hit",-0.25,4
"31","new",0.8,4
"32","spent",-0.25,4
"33","white",0.4,4
"34","anxiously",-1,3
"35","backwards",-0.4,3
"36","bored",-0.5,3
"37","coolly",0.25,3
"38","curse",-0.75,3
"39","dear",0.5,3
"40","difficult",-0.5,3
"41","enough",-0.25,3
"42","escape",-0.25,3
"43","excellent",1,3
"44","fallen",-0.5,3
"45","fine",0.25,3
"46","flying",0.1,3
"47","horror",-1,3
"48","laughed",0.8,3
"49","laughing",0.6,3
"50","reading",0.1,3
"51","remedial",-0.25,3
"52","scar",-0.5,3
"53","straight",0.6,3
"54","usual",0.4,3
"55","wait",-0.25,3
"56","worst",-0.5,3
"57","absorbed",0.5,2
"58","advanced",0.75,2
"59","anger",-0.75,2
"60","angry",-0.75,2
"61","arrogant",-0.75,2
"62","bad",-0.75,2
"63","bent",-0.4,2
"64","best",0.5,2
"65","better",0.8,2
"66","blackness",-0.25,2
"67","brilliant",1,2
"68","burning",-0.4,2
"69","care",1,2
"70","clearly",0.5,2
"71","cold",-0.5,2
"72","completely",0.4,2
"73","confused",-0.5,2
"74","cool",0.75,2
"75","determined",0.5,2
"76","disruption",-0.75,2
"77","dream",0.25,2
"78","educational",0.8,2
"79","enjoying",0.75,2
"80","falling",-0.75,2
"81","fat",-0.5,2
"82","filthy",-0.5,2
"83","finally",0.4,2
"84","fire",-0.25,2
"85","furious",-1,2
"86","gold",0.5,2
"87","golden",0.6,2
"88","grinned",0.4,2
"89","hanging",-0.25,2
"90","hastily",-0.4,2
"91","hopefully",0.6,2
"92","horrible",-0.75,2
"93","hurried",-0.25,2
