"","word","score","n"
"1","professor",0.4,28
"2","well",0.8,22
"3","yes",0.8,19
"4","like",0.5,16
"5","right",0.8,14
"6","good",0.75,13
"7","dear",0.5,8
"8","sir",0.25,8
"9","hard",-0.25,6
"10","kind",0.5,6
"11","smile",0.75,6
"12","smiling",0.75,6
"13","dust",-0.5,5
"14","excellent",1,5
"15","fire",-0.25,5
"16","hurt",-0.75,5
"17","working",0.25,5
"18","afraid",-0.75,4
"19","better",0.8,4
"20","calm",0.75,4
"21","cried",-1,4
"22","enough",-0.25,4
"23","great",0.5,4
"24","horrible",-0.75,4
"25","illegal",-1,4
"26","leave",-0.25,4
"27","please",1,4
"28","seized",-0.6,4
"29","slowly",-0.25,4
"30","trouble",-0.5,4
"31","backwards",-0.4,3
"32","banished",-1,3
"33","brightly",0.6,3
"34","cut",-0.25,3
"35","dark",-0.6,3
"36","fear",-0.75,3
"37","fell",-0.5,3
"38","friend",0.8,3
"39","hit",-0.25,3
"40","horrified",-0.75,3
"41","impatiently",-0.8,3
"42","join",0.25,3
"43","lesson",0.4,3
"44","motionless",-0.4,3
"45","nice",0.5,3
"46","oddly",-0.6,3
"47","silly",-0.25,3
"48","snag",-0.5,3
"49","straight",0.6,3
"50","stunned",-0.25,3
"51","teach",0.4,3
"52","thank",0.5,3
"53","warning",-0.5,3
"54","wrong",-0.75,3
"55","abandon",-0.75,2
"56","accidents",-0.6,2
"57","admitted",0.6,2
"58","advantage",0.75,2
"59","ahead",0.8,2
"60","angrily",-0.5,2
"61","astonishment",0.5,2
"62","bane",-0.5,2
"63","battle",-0.5,2
"64","break",-0.25,2
"65","breakfast",0.6,2
"66","breaking",-0.6,2
"67","care",1,2
"68","careful",0.25,2
"69","clear",0.5,2
"70","concealed",-0.5,2
"71","confession",-0.75,2
"72","dead",-1,2
"73","delight",1,2
"74","deny",-0.75,2
"75","eagerly",0.8,2
"76","excitedly",0.8,2
"77","expect",0.4,2
"78","fallen",-0.5,2
"79","feeling",0.25,2
"80","fellow",0.4,2
"81","fine",0.25,2
"82","foolish",-0.75,2
"83","force",-0.6,2
"84","forced",-0.5,2
"85","fortune",0.5,2
"86","found",0.6,2
"87","frantically",-0.8,2
"88","free",0.5,2
"89","frightened",-0.5,2
"90","glaring",-0.8,2
"91","growing",0.8,2
"92","happy",0.75,2
"93","heavens",0.8,2
"94","jolly",0.75,2
"95","kindly",0.5,2
"96","leader",0.25,2
"97","library",0.6,2
"98","lie",-0.5,2
"99","magical",0.75,2
"100","nonsense",-0.75,2
"101","outstanding",0.75,2
"102","pleased",0.75,2
"103","positively",0.75,2
"104","pretending",-0.25,2
"105","pretty",0.75,2
"106","pride",0.25,2
"107","producing",0.6,2
"108","progress",0.75,2
"109","promise",0.75,2
"110","prophet",0.6,2
"111","reminding",-0.25,2
"112","scornfully",-1,2
"113","shining",0.6,2
"114","smoke",-0.25,2
"115","sorry",-0.5,2
"116","split",-0.5,2
"117","star",0.6,2
"118","swelling",-0.75,2
"119","teacher",0.25,2
"120","terrible",-0.75,2
"121","unfortunately",-1,2
"122","usual",0.4,2
"123","wail",-0.75,2
"124","warn",-0.75,2
"125","warned",-0.5,2
"126","wish",0.8,2
"127","wizard",0.4,2
"128","work",0.25,2
"129","worse",-0.75,2
"130","worth",0.75,2
"131","ability",0.5,1
"132","advanced",0.75,1
"133","aftermath",-0.5,1
"134","agreed",0.5,1
"135","alert",-0.25,1
"136","allow",0.25,1
"137","alone",-0.6,1
"138","amazement",0.8,1
"139","anger",-0.75,1
"140","angry",-0.75,1
"141","appreciatively",1,1
"142","arrest",-0.5,1
"143","assured",0.8,1
"144","astonishingly",0.5,1
"145","attack",-0.75,1
"146","audibly",0.4,1
"147","await",-0.5,1
"148","bad",-0.75,1
"149","beaming",0.5,1
"150","beating",-0.5,1
"151","beg",-0.75,1
"152","best",0.5,1
"153","betray",-0.75,1
"154","betrayal",-0.75,1
"155","bite",-0.6,1
"156","blackened",-0.6,1
"157","blame",-0.75,1
"158","blankly",-0.4,1
"159","blatant",-0.5,1
"160","blow",-0.4,1
"161","blurred",-0.5,1
"162","bother",-0.75,1
"163","boy",0.25,1
"164","brave",0.5,1
"165","bravery",0.5,1
"166","broadly",0.4,1
"167","broken",-0.75,1
"168","bruise",-0.5,1
"169","build",0.1,1
"170","burn",-0.4,1
"171","burned",-0.6,1
"172","burning",-0.4,1
"173","burns",-0.4,1
"174","callous",-0.5,1
"175","calming",0.5,1
"176","cheerfully",1,1
"177","choice",0.4,1
"178","choking",-0.5,1
"179","cloud",-0.25,1
"180","cock",-0.25,1
"181","coldly",-0.75,1
"182","communicate",0.6,1
"183","competent",0.5,1
"184","completely",0.4,1
"185","confronted",-0.6,1
"186","confused",-0.5,1
"187","convinced",0.6,1
"188","cool",0.75,1
"189","coolly",0.25,1
"190","cornered",-0.8,1
"191","correct",0.6,1
"192","corruption",-0.75,1
"193","coughing",-0.8,1
"194","crash",-0.75,1
"195","crashed",-0.6,1
"196","criminals",-1,1
"197","crooked",-0.5,1
"198","crying",-0.5,1
"199","cursed",-0.5,1
"200","curses",-0.8,1
"201","dangerous",-0.5,1
"202","darker",-0.6,1
"203","dashed",0.25,1
"204","daughter",0.6,1
"205","defiant",-0.75,1
"206","delighted",0.75,1
"207","delusion",-0.5,1
"208","departed",-0.25,1
"209","difficult",-0.5,1
"210","dinner",0.6,1
"211","dirtiest",-0.8,1
"212","disagree",-0.5,1
"213","disappeared",-0.6,1
"214","disfigured",-1,1
"215","dismissive",-0.8,1
"216","distressed",-1,1
"217","divine",1,1
"218","dragging",-0.25,1
"219","dreams",0.25,1
"220","dull",-0.75,1
"221","educational",0.8,1
"222","enjoying",0.75,1
"223","escaping",-0.25,1
"224","evaporated",-0.25,1
"225","evil",-0.75,1
"226","excitement",1,1
"227","expel",-0.75,1
"228","expelled",-0.6,1
"229","expulsion",-0.8,1
"230","extra",0.4,1
"231","fall",-0.25,1
"232","fantastic",0.75,1
"233","fatherly",0.6,1
"234","fearful",-1,1
"235","feeble",-0.75,1
"236","fight",-0.5,1
"237","fighting",-0.8,1
"238","finally",0.4,1
"239","fist",-0.4,1
"240","flattering",0.5,1
"241","flying",0.1,1
"242","fondly",0.5,1
"243","foolishly",-1,1
"244","forbid",-0.75,1
"245","forbidden",-1,1
"246","forewarned",-0.4,1
"247","forgotten",-0.5,1
"248","freely",1,1
"249","fully",0.4,1
"250","fume",-0.75,1
"251","fumes",-0.4,1
"252","furiously",-1,1
"253","gentle",1,1
"254","gesturing",0.25,1
"255","glee",0.75,1
"256","golden",0.6,1
"257","gorgeous",0.5,1
"258","gravely",-1,1
"259","grim",-0.75,1
"260","gripping",-0.25,1
"261","groan",-0.8,1
"262","grudgingly",-0.75,1
"263","gruffly",-0.6,1
"264","habitat",0.6,1
"265","hairy",-0.1,1
"266","halt",-0.4,1
"267","hanging",-0.25,1
"268","happiness",0.75,1
"269","harshly",-1,1
"270","heartily",0.5,1
"271","hearty",0.25,1
"272","helping",0.5,1
"273","hissed",-0.5,1
"274","hoping",0.6,1
"275","horribly",-0.5,1
"276","horror",-1,1
"277","hot",-0.25,1
"278","howl",-0.4,1
"279","hurts",-0.75,1
"280","imitation",-0.25,1
"281","impartial",0.5,1
"282","impersonal",-1,1
"283","impossible",-0.5,1
"284","impress",0.75,1
"285","impressed",0.5,1
"286","impression",0.1,1
"287","inappropriate",-0.5,1
"288","inattention",-0.8,1
"289","incredulously",-0.4,1
"290","indecent",-0.5,1
"291","indignant",-0.75,1
"292","injury",-0.75,1
"293","innocent",0.8,1
"294","intended",-0.25,1
"295","interest",0.5,1
"296","interested",0.5,1
"297","interesting",0.75,1
"298","intimidating",-0.5,1
"299","invite",0.25,1
"300","joy",0.75,1
"301","joyfully",0.5,1
"302","jubilantly",1,1
"303","justice",1,1
"304","keen",0.5,1
"305","kick",-0.25,1
"306","kill",-0.75,1
"307","killjoy",-1,1
"308","knowledge",0.6,1
"309","laugh",0.5,1
"310","laughing",0.6,1
"311","leading",0.25,1
"312","learn",0.8,1
"313","lies",-1,1
"314","liked",0.5,1
"315","limitations",-0.25,1
"316","longing",-0.25,1
"317","loomed",-0.6,1
"318","losing",-0.75,1
"319","lost",-0.75,1
"320","lying",-0.5,1
"321","madly",0.75,1
"322","magic",0.25,1
"323","main",0.4,1
"324","maliciously",-1,1
"325","miserably",-0.5,1
"326","misery",-0.75,1
"327","mist",-0.25,1
"328","mistake",-0.75,1
"329","nastily",-1,1
"330","natural",0.6,1
"331","neglected",-0.75,1
"332","nervous",-0.75,1
"333","nervously",-0.5,1
"334","new",0.8,1
"335","offended",-0.75,1
"336","offensive",-0.5,1
"337","overturned",-0.25,1
"338","painful",-0.5,1
"339","patiently",1,1
"340","perfectly",0.5,1
"341","perplexed",-1,1
"342","perturbed",-0.75,1
"343","petty",-0.5,1
"344","pleasantly",0.8,1
"345","pleasure",0.5,1
"346","poised",-0.1,1
"347","police",-0.25,1
"348","polished",0.5,1
"349","polite",0.5,1
"350","poor",-0.5,1
"351","preferred",0.8,1
"352","pressure",-0.5,1
"353","pretend",-0.75,1
"354","priority",0.6,1
"355","problems",-0.5,1
"356","prosecuted",-0.8,1
"357","protect",0.75,1
"358","punishment",-0.5,1
"359","puzzled",-0.75,1
"360","quiet",0.25,1
"361","quivering",-0.6,1
"362","radiant",0.75,1
"363","reading",0.1,1
"364","reassuring",1,1
"365","received",0.6,1
"366","refuge",1,1
"367","relieved",1,1
"368","remarkably",0.5,1
"369","respect",0.5,1
"370","revenge",-1,1
"371","rubbish",-0.75,1
"372","rude",-0.5,1
"373","safety",0.8,1
"374","sage",0.6,1
"375","sagging",-0.6,1
"376","sarcasm",-0.5,1
"377","save",0.5,1
"378","scar",-0.5,1
"379","scared",-0.5,1
"380","scary",-0.5,1
"381","screwed",-0.75,1
"382","seize",-0.5,1
"383","serene",1,1
"384","sharply",-0.25,1
"385","shock",-0.75,1
"386","shocked",-0.5,1
"387","shoot",-0.5,1
"388","shooting",-0.6,1
"389","shot",-0.4,1
"390","shriek",-0.5,1
"391","shy",-0.4,1
"392","sickly",-0.5,1
"393","significance",0.5,1
"394","skidding",-0.25,1
"395","slamming",-0.4,1
"396","slow",-0.25,1
"397","smirking",-0.4,1
"398","smugly",-1,1
"399","sneak",-0.5,1
"400","sobbed",-1,1
"401","soft",0.6,1
"402","solid",0.25,1
"403","spectacularly",1,1
"404","spent",-0.25,1
"405","spindly",-0.8,1
"406","sprang",-0.25,1
"407","staring",-0.25,1
"408","steal",-0.75,1
"409","strangling",-1,1
"410","stress",-0.75,1
"411","stricken",-0.5,1
"412","strike",-0.75,1
"413","struck",-0.5,1
"414","struggled",-0.5,1
"415","stuck",-0.25,1
"416","study",0.25,1
"417","stupid",-1,1
"418","suffering",-1,1
"419","suffice",0.5,1
"420","surprise",0.6,1
"421","suspicion",-0.75,1
"422","suspicious",-0.75,1
"423","sweetly",0.5,1
"424","sympathy",0.25,1
"425","talk",0.4,1
"426","tears",-0.8,1
"427","tense",-0.5,1
"428","terrified",-1,1
"429","terror",-1,1
"430","testy",-1,1
"431","thrashing",-1,1
"432","threat",-0.75,1
"433","torn",-0.5,1
"434","tough",0.25,1
"435","towering",-0.4,1
"436","trembling",-0.5,1
"437","trick",-0.5,1
"438","trivial",-0.25,1
"439","troubles",-0.75,1
"440","trustworthy",1,1
"441","twin",0.25,1
"442","ugly",-0.75,1
"443","unable",-0.5,1
"444","unconcerned",-0.5,1
"445","unconvincing",-0.5,1
"446","understanding",1,1
"447","unhappy",-0.75,1
"448","unknown",-0.5,1
"449","unusual",-0.6,1
"450","unwise",-0.5,1
"451","upset",-0.75,1
"452","vanished",-0.6,1
"453","vice",-0.5,1
"454","vicious",-0.75,1
"455","wait",-0.25,1
"456","war",-0.5,1
"457","wars",-1,1
"458","waste",-0.75,1
"459","white",0.4,1
"460","winked",0.6,1
"461","wisdom",0.75,1
"462","worries",-0.5,1
"463","worry",-0.75,1
"464","wrecked",-1,1
"465","wrongly",-0.5,1
"466","yelped",-0.6,1
